,Unnamed: 0,mote_id,site_id,node_id,lat,lon,elevation,put_time,mac,sd_last_update,server_last_update,sd_level_1,server_level_1,ground_dist,slope,aspect
0,0,1,1,1,38.805,-120.214996,2300.0,2016-03-07,383b8a,,2016-05-11 06:00:00,2014-10-01 00:00:00,2016-03-16 18:00:00,4100.21,18.0133339048,298.924135318
1,1,2,1,2,38.803001,-120.218002,2309.0,2016-03-07,383bc5,,2015-12-15 15:00:00,2014-10-01 00:00:00,2014-10-01 00:00:00,4020.5,14.7518936053,325.722045125
2,2,3,1,3,38.806839,-120.217484,2244.0,2016-03-07,383c19,,2016-05-11 06:00:00,2014-10-01 00:00:00,2014-10-01 00:00:00,4008.47,11.4576406758,312.293954221
3,3,4,1,4,38.807999,-120.209999,2269.0,2016-03-07,382910,,2016-05-11 06:00:00,2014-10-01 00:00:00,2014-10-01 00:00:00,,7.1975622845,296.308952237
4,4,5,1,5,38.808998,-120.213997,2258.0,2016-03-07,383d4e,,2016-05-11 06:00:00,2014-10-01 00:00:00,2014-10-01 00:00:00,3992.87,25.2671867035,283.244841139
5,5,6,1,6,38.803883,-120.210213,2221.0,2016-03-07,383abe,,2016-05-08 20:30:00,2014-10-01 00:00:00,2014-10-01 00:00:00,3679.89,15.9873269029,274.059368247
6,6,7,1,7,38.804901,-120.217194,2296.0,2016-03-07,383bd0,,2016-05-11 06:00:00,2014-10-01 00:00:00,2014-10-01 00:00:00,3970.55,12.6639101907,343.388618348
7,7,8,1,8,38.802834,-120.209862,2210.0,2016-03-07,383c71,,2016-05-08 20:30:00,2014-10-01 00:00:00,2014-10-01 00:00:00,4301.69,11.983738877,172.950609274
8,8,9,1,9,38.801453,-120.210548,2232.0,2016-03-07,601738,,2016-05-08 20:00:00,2014-10-01 00:00:00,2014-10-01 00:00:00,4272.75,21.0851966452,70.1731453733
9,9,10,1,10,38.802715,-120.216469,2306.0,2016-03-07,601822,,2015-11-27 16:15:00,2014-10-01 00:00:00,2014-10-01 00:00:00,4156.57,15.3511686867,17.1573867942
10,10,11,2,1,39.097492,-120.575371,1594.0,2016-03-07,382866,,2016-02-12 16:00:00,2014-10-01 00:00:00,2014-10-01 00:00:00,,14.5227591106,192.968680818
11,11,12,2,2,39.096855,-120.578354,1564.0,2016-03-07,383abd,,2016-02-14 00:45:00,2014-10-01 00:00:00,2014-10-01 00:00:00,2750.8,17.5265081068,195.847710701
